tile_name,tile_path,paved_plaza_surface_area,paved_plaza_surface_count,paved_plaza_surface_conf,isolated_walkway_area,isolated_walkway_count,isolated_walkway_conf,meandering_sidewalk_area,meandering_sidewalk_count,meandering_sidewalk_conf,fragmented_sidewalk_area,fragmented_sidewalk_count,fragmented_sidewalk_conf,isolated_roadway_area,isolated_roadway_count,isolated_roadway_conf,vegetated_ground_surface_area,vegetated_ground_surface_count,vegetated_ground_surface_conf,road_marking_surface_area,road_marking_surface_count,road_marking_surface_conf,paved_plaza_surface_area_px,isolated_walkway_area_px,meandering_sidewalk_area_px,fragmented_sidewalk_area_px,isolated_roadway_area_px,vegetated_ground_surface_area_px,road_marking_surface_area_px
158598_194036,tiles/158598_194036.jpg,0.0,0,0.0,0.0343,1,0.539,0.0,0,0.0,0.0,0,0.0,0.0353,1,0.7059,0.9962,1,0.9661,0.0,0,0.0,0,2247,0,0,2313,65286,0
158598_194037,tiles/158598_194037.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.9989,1,0.9425,0.0,0,0.0,0,0,0,0,0,65463,0
158598_194038,tiles/158598_194038.jpg,0.0,0,0.0,0.0916,1,0.6699,0.0,0,0.0,0.0,0,0.0,0.0914,1,0.9515,0.8396,2,0.8814,0.0,0,0.0,0,6003,0,0,5989,55024,0
158598_194039,tiles/158598_194039.jpg,0.2269,1,0.7952,0.0,0,0.0,0.0,0,0.0,0.2452,2,0.6399,0.1692,1,0.8955,0.6981,4,0.6916,0.0,0,0.0,14870,0,0,16069,11088,45750,0
158598_194040,tiles/158598_194040.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0227,1,0.6907,0.7451,1,0.9199,0.0,0,0.0,0,0,0,0,1487,48830,0
158598_194041,tiles/158598_194041.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.037,1,0.7719,0.5988,1,0.9043,0.0,0,0.0,0,0,0,0,2424,39242,0
158598_194042,tiles/158598_194042.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0821,3,0.6764,0.5761,1,0.9367,0.0037,2,0.5578,0,0,0,0,5380,37755,242
158598_194043,tiles/158598_194043.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.2634,2,0.8131,0.4055,3,0.6704,0.0089,12,0.6318,0,0,0,0,17262,26574,583
158598_194044,tiles/158598_194044.jpg,0.0,0,0.0,0.0746,1,0.9329,0.0751,1,0.8516,0.0746,1,0.6213,0.1743,3,0.7744,0.6407,3,0.6747,0.0021,3,0.5416,0,4888,4921,4888,11422,41988,137
158598_194045,tiles/158598_194045.jpg,0.0,0,0.0,0.1468,2,0.7308,0.148,2,0.6802,0.1469,3,0.59,0.1478,1,0.8876,0.6948,4,0.9024,0.0,0,0.0,0,9620,9699,9627,9686,45534,0
158598_194046,tiles/158598_194046.jpg,0.0,0,0.0,0.0921,2,0.7052,0.0923,1,0.5907,0.0905,1,0.6644,0.094,2,0.7471,0.8362,2,0.9427,0.0,0,0.0,0,6035,6048,5931,6160,54801,0
158598_194047,tiles/158598_194047.jpg,0.0,0,0.0,0.0751,1,0.8359,0.0754,1,0.7947,0.075,1,0.6366,0.0845,2,0.7191,0.6131,4,0.7442,0.0,0,0.0,0,4921,4941,4915,5537,40180,0
158598_194048,tiles/158598_194048.jpg,0.1234,1,0.7108,0.1158,1,0.8807,0.1186,1,0.8313,0.1207,1,0.7679,0.117,1,0.9206,0.3377,1,0.8829,0.0,0,0.0,8087,7589,7772,7910,7667,22131,0
158598_194049,tiles/158598_194049.jpg,0.0,0,0.0,0.0,0,0.0,0.0168,1,0.6458,0.0,0,0.0,0.08,1,0.9076,0.7559,2,0.841,0.0,0,0.0,0,0,1101,0,5242,49538,0
158598_194050,tiles/158598_194050.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.9968,1,0.9265,0.0,0,0.0,0,0,0,0,0,65326,0
158598_194051,tiles/158598_194051.jpg,0.0571,1,0.5189,0.0,0,0.0,0.0,0,0.0,0.0552,1,0.6138,0.0512,1,0.6571,0.8168,1,0.9741,0.0,0,0.0,3742,0,0,3617,3355,53529,0
158598_194052,tiles/158598_194052.jpg,0.4884,2,0.5182,0.0,0,0.0,0.0,0,0.0,0.9664999999999999,6,1.3185,0.4874,3,0.5984,0.0347,1,0.7444,0.0,0,0.0,32007,0,0,63340,31942,2274,0
158598_194053,tiles/158598_194053.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.3234,3,0.5999,0.3297,3,0.8178,0.339,3,0.7754,0.1088,2,0.6259,0,0,0,21194,21607,22216,7130
158598_194054,tiles/158598_194054.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.2865,1,0.6188,0.877,2,0.7351,0.0,0,0.0,0,0,0,0,18776,57475,0
158598_194055,tiles/158598_194055.jpg,0.0,0,0.0,0.0281,1,0.8519,0.0287,1,0.6388,0.0,0,0.0,0.0292,1,0.6284,0.9022,1,0.9088,0.0,0,0.0,0,1841,1880,0,1913,59126,0
158598_194056,tiles/158598_194056.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.9955,1,0.96,0.0,0,0.0,0,0,0,0,0,65241,0
158598_194057,tiles/158598_194057.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.8984,1,0.9488,0.0,0,0.0,0,0,0,0,0,58877,0
158598_194058,tiles/158598_194058.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.9977,1,0.9654,0.0,0,0.0,0,0,0,0,0,65385,0
158598_194059,tiles/158598_194059.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.9991,1,0.9741,0.0,0,0.0,0,0,0,0,0,65477,0
158598_194060,tiles/158598_194060.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.7925,1,0.9445,0.0,0,0.0,0,0,0,0,0,51937,0
158598_194061,tiles/158598_194061.jpg,0.0,0,0.0,0.0468,3,0.5805,0.0361,2,0.5592,0.32,3,1.1196,0.169,2,0.6697,0.4021,3,0.7208,0.0281,20,0.5762,0,3067,2365,20971,11075,26352,1841
158598_194062,tiles/158598_194062.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0805,2,1.2839,0.0389,1,0.7345,0.5391,2,0.8678,0.0078,4,0.5624,0,0,0,5275,2549,35330,511
158598_194063,tiles/158598_194063.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.8011,1,0.9346,0.0,0,0.0,0,0,0,0,0,52500,0
158598_194064,tiles/158598_194064.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.9992,1,0.9797,0.0,0,0.0,0,0,0,0,0,65483,0
158598_194065,tiles/158598_194065.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.9987,1,0.9799,0.0,0,0.0,0,0,0,0,0,65450,0
158598_194066,tiles/158598_194066.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.9949,1,0.9728,0.0,0,0.0,0,0,0,0,0,65201,0
158598_194067,tiles/158598_194067.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.9955,1,0.9752,0.0,0,0.0,0,0,0,0,0,65241,0
158598_194068,tiles/158598_194068.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.204,1,0.519,0.1782,1,0.9244,0.6305,1,0.99,0.0,0,0.0,0,0,0,13369,11678,41320,0
158598_194069,tiles/158598_194069.jpg,0.0,0,0.0,0.0809,2,0.6734,0.0832,2,0.6795,0.1898,1,0.5443,0.3242,3,0.6844,0.1291,4,0.8686,0.0352,4,0.785,0,5301,5452,12438,21246,8460,2306
158598_194070,tiles/158598_194070.jpg,0.0,0,0.0,0.0052,1,0.5204,0.0,0,0.0,0.2072,4,0.5379,0.1851,1,0.893,0.4347,6,0.7247,0.0193,2,0.7206,0,340,0,13579,12130,28488,1264
158598_194071,tiles/158598_194071.jpg,0.0,0,0.0,0.0976,2,0.7205,0.0678,1,0.8018,0.0692,1,0.5204,0.1,2,0.876,0.8496,2,0.8999,0.0,0,0.0,0,6396,4443,4535,6553,55679,0
158598_194072,tiles/158598_194072.jpg,0.0,0,0.0,0.0421,2,0.8513,0.0402,2,0.7234,0.066,4,0.5545,0.045,2,0.8545,0.7093,2,0.9023,0.0,0,0.0,0,2759,2634,4325,2949,46484,0
158599_193981,tiles/158599_193981.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.42669999999999997,6,1.2953999999999999,0.074,1,0.8592,0.2267,3,0.7795,0.0,0,0.0,0,0,0,27964,4849,14857,0
158599_193982,tiles/158599_193982.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.133,1,0.5209,0.0,0,0.0,0.0,0,0.0,0,0,0,0,8716,0,0
158599_193983,tiles/158599_193983.jpg,0.1307,3,0.636,0.0271,1,0.8025,0.032,1,0.7256,0.2277,5,1.3155000000000001,0.1324,2,0.5815,0.1283,1,0.8998,0.0,0,0.0,8565,1776,2097,14922,8676,8408,0
158599_193984,tiles/158599_193984.jpg,0.0,0,0.0,0.0623,1,0.57,0.0379,1,0.6079,0.2074,2,0.5931,0.1473,1,0.91,0.1475,1,0.8501,0.0,0,0.0,0,4082,2483,13592,9653,9666,0
158599_193985,tiles/158599_193985.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.3232,1,0.8025,0.3253,2,0.7623,0.0795,6,0.5636,0,0,0,0,21181,21318,5210
158599_193986,tiles/158599_193986.jpg,0.1326,1,0.804,0.0387,2,0.5521,0.0187,1,0.5278,0.32820000000000005,3,2.187,0.3174,3,0.5429,0.2538,3,0.8884,0.0971,11,0.6593,8690,2536,1225,21508,20801,16633,6363
158599_193987,tiles/158599_193987.jpg,0.3724,1,0.9209,0.3689,1,0.626,0.0,0,0.0,1.114,3,2.1879,0.3143,4,0.6571,0.3796,2,0.7377,0.0468,9,0.6131,24405,24176,0,73007,20597,24877,3067
158599_193988,tiles/158599_193988.jpg,0.1376,1,0.7963,0.0,0,0.0,0.0,0,0.0,0.2747,2,1.4607,0.2713,2,0.8087,0.1712,2,0.6273,0.0332,9,0.57,9017,0,0,18002,17779,11219,2175
158599_193989,tiles/158599_193989.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.1157,1,0.6073,0.2,2,0.7755,0.0569,1,0.8938,0.0079,7,0.6576,0,0,0,7582,13107,3728,517
158599_193990,tiles/158599_193990.jpg,0.3531,2,0.7131,0.0,0,0.0,0.0,0,0.0,0.6006,3,1.5413000000000001,0.0,0,0.0,0.2488,1,0.7541,0.07,7,0.655,23140,0,0,39360,0,16305,4587
158599_193991,tiles/158599_193991.jpg,0.0,0,0.0,0.0673,2,0.578,0.0521,1,0.5769,0.0751,1,0.5142,0.2338,2,0.5425,0.0,0,0.0,0.0424,6,0.5862,0,4410,3414,4921,15322,0,2778
158599_193992,tiles/158599_193992.jpg,0.0,0,0.0,0.0353,1,0.5951,0.0325,1,0.5342,0.20180000000000003,4,1.7953999999999999,0.2803,2,0.5507,0.0361,1,0.7313,0.0,0,0.0,0,2313,2129,13225,18369,2365,0
158599_193993,tiles/158599_193993.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.2699,1,0.7854,0.0,0,0.0,0.0026,3,0.5698,0,0,0,0,17688,0,170
158599_193994,tiles/158599_193994.jpg,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.3225,2,0.6006,0.2507,1,0.8884,0.0,0,0.0,0.0025,3,0.5535,0,0,0,21135,16429,0,163
